image_id,label
1193,1
427,0
1474,0
766,0
486,1
480,1
110,0
775,0
1388,1
1189,1
1721,1
531,1
985,0
539,1
1058,0
678,0
1102,0
317,0
1150,1
931,1
345,1
591,1
949,1
786,1
882,0
562,1
1141,1
304,0
221,1
1272,0
1081,1
742,1
1269,1
600,0
325,0
1711,1
943,1
549,0
830,1
1366,1
382,0
1450,1
30,1
866,1
1703,1
1044,0
1492,1
1709,0
1638,1
1716,1
1254,0
116,0
680,1
1423,1
1245,1
1091,1
66,0
213,0
558,0
1111,0
1616,1
1253,1
71,0
340,1
367,1
1664,1
484,0
577,0
136,0
24,0
629,0
887,0
1238,1
355,1
1034,0
1344,1
1512,1
353,1
632,0
1636,1
479,0
384,0
1031,0
238,1
1358,0
332,0
1455,0
112,0
1720,1
1092,1
189,1
652,0
937,0
414,0
465,0
599,0
940,0
368,0
163,1
333,1
1641,0
1755,1
1679,0
1069,1
174,1
1152,0
454,0
755,0
1698,1
1027,1
1206,0
204,0
863,0
375,0
1533,1
472,1
1336,0
487,1
1270,0
586,1
583,0
426,1
1277,1
1393,1
1712,0
1696,1
1441,0
1396,1
1278,1
1024,1
1658,1
50,1
995,1
1442,0
1381,1
619,0
535,1
711,1
1461,1
1744,1
868,0
79,0
211,0
1209,0
74,0
70,0
820,0
1183,1
1115,1
731,0
527,0
434,1
451,1
608,1
1384,0
1753,0
77,0
1625,1
1730,0
1316,1
483,0
1768,1
299,0
611,1
255,1
1001,1
979,1
31,1
1129,1
670,1
1472,1
352,0
1306,1
1376,1
100,1
915,0
248,0
1380,1
835,0
252,0
169,0
924,0
240,0
1112,1
695,1
1736,0
463,0
1453,1
533,0
1125,1
33,1
1345,1
234,0
498,0
1122,1
910,0
933,1
186,1
1701,1
1377,1
343,0
45,0
901,0
571,0
974,0
890,1
197,0
880,1
988,1
1342,1
60,0
1210,1
290,0
298,0
1114,1
1074,1
1565,1
1320,1
1433,0
1561,1
124,1
1353,1
556,1
1770,0
271,1
1777,0
1134,1
1615,1
1610,1
814,1
1558,0
276,0
1454,0
964,1
351,1
773,0
1541,1
1527,1
965,1
1000,0
1282,1
1279,1
1579,0
1614,1
1337,1
68,1
1524,0
1108,1
1548,0
125,0
544,1
1042,1
1432,0
1343,0
1462,1
1224,1
874,0
1653,0
1741,0
592,1
1182,1
1714,0
1360,0
1405,0
847,1
421,0
638,1
1488,0
708,1
528,0
1289,0
262,1
778,1
241,0
1170,1
953,0
926,0
821,1
594,1
416,0
72,1
366,0
260,0
52,0
1226,1
911,0
1659,1
1205,1
917,0
372,0
1704,1
433,0
1256,1
409,1
1584,0
615,1
756,1
1051,1
515,0
142,1
1139,1
1233,0
1660,0
1349,1
417,1
1469,1
272,1
185,0
757,1
245,1
440,0
661,0
1766,0
323,0
817,0
889,1
590,0
1318,1
1290,1
251,1
701,0
1162,0
415,1
383,0
839,1
1651,0
980,1
1145,1
495,0
951,1
399,1
1346,1
171,1
1050,0
1202,1
428,1
301,0
1666,0
395,1
1236,1
1054,0
507,0
1738,0
1028,1
1418,1
530,1
1109,1
1719,1
555,0
176,1
1627,0
620,1
1237,0
1010,1
744,0
1262,0
