image_id,original_culture,irish_culture,chinese_culture
1193,0,1,0
427,0,0,0
1474,0,0,0
766,0,0,0
486,0,0,0
480,0,0,0
110,0,0,0
775,0,0,0
1388,0,0,0
1189,0,0,0
1721,0,0,0
531,0,0,0
985,0,0,0
539,0,0,0
1058,0,0,0
678,0,0,0
1102,0,0,0
317,0,0,0
1150,0,0,0
931,0,0,0
345,0,0,0
591,0,0,0
949,0,0,0
786,0,0,0
882,0,0,0
562,0,0,0
1141,0,0,0
304,0,0,0
221,0,0,0
1272,0,0,0
1081,0,0,0
742,0,0,0
1269,0,0,0
600,0,0,0
325,0,0,0
1711,0,0,0
943,0,0,0
549,0,0,0
830,0,0,0
1366,0,0,0
382,0,0,0
1450,0,1,0
30,0,0,0
866,0,0,0
1703,0,0,0
1044,0,0,0
1492,0,0,0
1709,0,0,0
1638,0,0,0
1716,1,0,0
1254,0,0,0
116,0,0,0
680,0,0,0
1423,0,0,0
1245,0,0,0
1091,1,0,0
66,0,0,0
213,0,0,0
558,0,0,0
1111,0,0,0
1616,0,0,0
1253,0,0,0
71,0,0,0
340,0,0,0
367,0,0,1
1664,0,0,0
484,0,0,0
577,0,0,0
136,0,0,0
24,0,0,0
629,0,0,0
887,0,0,0
1238,0,0,0
355,0,0,0
1034,0,0,0
1344,0,1,1
1512,0,0,0
353,0,0,0
632,0,0,0
1636,0,0,0
479,0,0,0
384,0,0,0
1031,0,0,0
238,0,0,0
1358,0,0,0
332,0,0,0
1455,0,0,0
112,0,0,0
1720,0,0,0
1092,0,0,0
189,0,0,0
652,0,0,0
937,0,0,0
414,0,0,0
465,0,0,1
599,0,0,0
940,0,0,0
368,0,0,0
163,0,0,0
333,0,0,0
1641,0,0,0
1755,0,0,0
1679,0,0,0
1069,0,0,0
174,0,0,0
1152,0,0,0
454,0,0,0
755,0,0,0
1698,0,0,0
1027,0,0,0
1206,1,0,1
204,0,0,0
863,0,0,0
375,0,0,0
1533,0,0,0
472,0,0,0
1336,0,0,0
487,0,0,0
1270,0,0,0
586,0,0,0
583,0,0,0
426,0,0,0
1277,0,1,1
1393,0,0,0
1712,0,0,0
1696,0,0,0
1441,0,0,0
1396,0,0,0
1278,0,0,0
1024,0,0,0
1658,0,0,1
50,0,0,0
995,0,0,0
1442,0,0,0
1381,0,0,0
619,0,0,0
535,0,0,0
711,0,0,0
1461,1,0,1
1744,0,0,0
868,0,0,0
79,0,0,0
211,0,0,0
1209,0,0,0
74,0,0,0
70,0,0,0
820,0,0,0
1183,0,0,0
1115,0,0,0
731,0,0,0
527,0,0,0
434,0,0,0
451,0,0,0
608,0,0,0
1384,0,0,0
1753,0,0,0
77,0,0,0
1625,0,0,0
1730,0,0,0
1316,0,0,0
483,0,0,0
1768,0,1,0
299,0,0,0
611,0,0,0
255,0,0,0
1001,0,0,0
979,0,0,0
31,0,0,0
1129,0,0,0
670,0,0,0
1472,0,0,0
352,0,0,0
1306,0,0,0
1376,0,0,0
100,0,0,0
915,0,0,0
248,0,0,0
1380,1,1,1
835,0,0,0
252,0,0,0
169,0,0,0
924,0,0,1
240,0,0,0
1112,0,0,0
695,0,0,0
1736,0,0,0
463,0,0,0
1453,0,1,1
533,0,0,0
1125,0,0,0
33,0,0,0
1345,0,0,0
234,0,0,0
498,0,0,0
1122,0,0,0
910,0,0,0
933,0,0,0
186,0,0,0
1701,0,0,0
1377,0,0,0
343,0,0,0
45,0,0,0
901,0,0,0
571,0,0,0
974,0,0,0
890,0,0,0
197,0,0,0
880,0,0,0
988,0,0,0
1342,0,0,0
60,0,0,0
1210,0,0,0
290,0,0,0
298,0,0,0
1114,0,0,0
1074,1,1,0
1565,0,0,0
1320,0,0,0
1433,0,0,0
1561,0,0,0
124,0,0,0
1353,0,0,0
556,0,0,0
1770,0,0,0
271,0,0,0
1777,0,0,0
1134,0,0,0
1615,0,0,0
1610,0,0,0
814,0,0,0
1558,0,0,0
276,0,0,0
1454,0,0,0
964,0,0,0
351,0,0,0
773,0,0,0
1541,0,0,0
1527,0,1,1
965,0,0,0
1000,0,0,0
1282,0,0,0
1279,0,0,0
1579,0,0,0
1614,0,0,0
1337,0,0,0
68,0,0,0
1524,0,0,0
1108,0,0,0
1548,0,0,0
125,0,0,0
544,0,0,0
1042,0,0,0
1432,0,0,0
1343,0,0,0
1462,0,0,0
1224,0,0,0
874,1,1,1
1653,0,0,0
1741,0,0,1
592,0,0,0
1182,0,0,0
