image_id,label
1193,1
427,1
1474,0
766,0
486,1
480,1
110,1
775,1
1388,1
1189,1
1721,1
531,1
985,1
539,1
1058,1
678,1
1102,1
317,1
1150,1
931,1
345,1
591,1
949,0
786,1
882,0
562,1
1141,1
304,1
221,1
1272,1
1081,1
742,0
1269,1
600,1
325,1
1711,1
943,0
549,0
830,1
1366,1
382,1
1450,1
30,0
866,0
1703,1
1044,1
1492,1
1709,1
1638,1
1716,1
1254,1
116,1
680,1
1423,1
1245,1
1091,1
66,0
213,1
558,1
1111,1
1616,1
1253,1
71,1
340,1
367,1
1664,1
484,0
577,0
136,1
24,1
629,1
887,1
1238,1
355,1
1034,1
1344,1
1512,1
353,1
632,0
1636,1
479,0
384,1
1031,0
238,0
1358,1
332,1
1455,1
112,0
1720,1
1092,1
189,1
652,0
937,0
414,0
465,0
599,1
940,1
368,0
163,0
333,1
1641,1
1755,1
1679,1
1069,1
174,1
1152,1
454,1
755,0
1698,1
1027,1
1206,1
204,0
863,1
375,1
1533,1
472,1
1336,0
487,1
1270,0
586,1
583,0
426,1
1277,1
1393,1
1712,1
1696,1
1441,1
1396,1
1278,1
1024,1
1658,1
50,1
995,1
1442,1
1381,1
619,1
535,1
711,1
1461,1
1744,1
868,1
79,0
211,0
1209,1
74,0
70,1
820,1
1183,1
1115,1
731,1
527,1
434,1
451,1
608,1
1384,1
1753,1
77,1
1625,1
1730,1
1316,1
483,1
1768,1
299,1
611,1
255,0
1001,1
979,1
31,1
1129,1
670,1
1472,1
352,0
1306,1
1376,1
100,1
915,1
248,0
1380,1
835,0
252,1
169,1
924,1
240,1
1112,1
695,1
1736,1
463,0
1453,1
533,1
1125,1
33,1
1345,1
234,0
498,1
1122,1
910,1
933,1
186,1
1701,1
1377,1
343,0
45,0
901,0
571,1
974,1
890,1
197,1
880,1
988,1
1342,1
60,0
1210,1
290,1
298,1
1114,1
1074,1
1565,1
1320,1
1433,0
1561,1
124,1
1353,1
556,1
1770,1
271,1
1777,0
1134,1
1615,1
1610,1
814,1
1558,1
276,0
1454,1
964,1
351,1
773,0
1541,1
1527,0
965,1
1000,1
1282,1
1279,1
1579,0
1614,1
1337,1
68,1
1524,1
1108,1
1548,1
125,1
544,1
1042,1
1432,1
1343,1
1462,0
1224,1
874,0
1653,1
1741,1
592,1
1182,1
1714,0
1360,1
1405,1
847,1
421,1
638,1
1488,1
708,1
528,1
1289,1
262,1
778,1
241,0
1170,1
953,1
926,1
821,1
594,1
416,0
72,0
366,0
260,1
52,1
1226,1
911,1
1659,1
1205,1
917,1
372,0
1704,1
433,1
1256,1
409,1
1584,1
615,1
756,1
1051,1
515,1
142,1
1139,1
1233,0
1660,0
1349,1
417,1
1469,1
272,1
185,1
757,1
245,1
440,1
661,1
1766,1
323,0
817,0
889,1
590,0
1318,0
1290,1
251,1
701,1
1162,1
415,1
383,1
839,1
1651,1
980,1
1145,1
495,1
951,1
399,1
1346,1
171,0
1050,0
1202,1
428,1
301,1
1666,1
395,0
1236,1
1054,1
507,0
1738,1
1028,1
1418,0
530,0
1109,1
1719,1
555,1
176,1
1627,1
620,1
1237,1
1010,1
744,1
1262,1
